benchmark,family,result,time,memory,conflict,decision,stage
mbo_E14E21,20161105-Sturm-MBO,timeout,1199.93,513.93,0,0,0
mbo_E14E22,20161105-Sturm-MBO,timeout,1199.91,336.14,0,0,0
mbo_E14E23,20161105-Sturm-MBO,timeout,1199.92,518.07,0,0,0
mbo_E14E24,20161105-Sturm-MBO,timeout,1199.88,416.77,0,0,0
mbo_E14E25,20161105-Sturm-MBO,timeout,1199.97,1312.74,0,0,0
mbo_E14E26,20161105-Sturm-MBO,timeout,1199.98,246.51,0,0,0
mbo_E14E27,20161105-Sturm-MBO,timeout,1199.96,346.08,0,0,0
mbo_E14E28,20161105-Sturm-MBO,timeout,1199.93,592.13,0,0,0
mbo_E14,20161105-Sturm-MBO,timeout,1199.97,155.77,0,0,0
mbo_E15E16,20161105-Sturm-MBO,timeout,1199.97,325.22,0,0,0
mbo_E15E17,20161105-Sturm-MBO,timeout,1199.91,582.24,0,0,0
mbo_E15E18,20161105-Sturm-MBO,timeout,1199.9,502.51,0,0,0
mbo_E15E19,20161105-Sturm-MBO,timeout,1199.9,308.52,0,0,0
mbo_E15E20,20161105-Sturm-MBO,timeout,1199.98,1900.17,0,0,0
mbo_E15E21,20161105-Sturm-MBO,timeout,1199.91,359.54,0,0,0
mbo_E15E22,20161105-Sturm-MBO,timeout,1199.91,323.31,0,0,0
mbo_E15E23,20161105-Sturm-MBO,timeout,1199.92,391.52,0,0,0
mbo_E15E24,20161105-Sturm-MBO,timeout,1199.91,281.15,0,0,0
mbo_E15E25,20161105-Sturm-MBO,timeout,1199.96,1316.13,0,0,0
mbo_E15E26,20161105-Sturm-MBO,timeout,1199.97,259.53,0,0,0
mbo_E15E27,20161105-Sturm-MBO,timeout,1199.97,375.83,0,0,0
mbo_E15E28,20161105-Sturm-MBO,timeout,1199.92,511.63,0,0,0
mbo_E15,20161105-Sturm-MBO,timeout,1199.98,161.09,0,0,0
mbo_E16E17,20161105-Sturm-MBO,timeout,1199.97,407.13,0,0,0
mbo_E16E18,20161105-Sturm-MBO,timeout,1199.88,697.05,0,0,0
mbo_E16E19,20161105-Sturm-MBO,timeout,1199.89,611.4,0,0,0
mbo_E16E20,20161105-Sturm-MBO,timeout,1199.91,609.53,0,0,0
mbo_E16E21,20161105-Sturm-MBO,timeout,1199.96,439.62,0,0,0
mbo_E16E22,20161105-Sturm-MBO,timeout,1199.85,594.85,0,0,0
mbo_E16E23,20161105-Sturm-MBO,timeout,1199.99,314.27,0,0,0
mbo_E16E24,20161105-Sturm-MBO,timeout,1199.91,656.96,0,0,0
mbo_E16E25,20161105-Sturm-MBO,timeout,1199.96,279.45,0,0,0
mbo_E16E26,20161105-Sturm-MBO,timeout,1199.99,125.52,0,0,0
mbo_E16E27,20161105-Sturm-MBO,timeout,1199.97,179.74,0,0,0
mbo_E16E28,20161105-Sturm-MBO,timeout,1199.98,428.38,0,0,0
mbo_E16,20161105-Sturm-MBO,timeout,1199.98,96.74,0,0,0
mbo_E17E18,20161105-Sturm-MBO,timeout,1199.98,412.48,0,0,0
mbo_E17E19,20161105-Sturm-MBO,timeout,1199.9,561.96,0,0,0
mbo_E17E20,20161105-Sturm-MBO,timeout,1199.92,511.03,0,0,0
mbo_E17E21,20161105-Sturm-MBO,timeout,1200.0,345.63,0,0,0
mbo_E17E22,20161105-Sturm-MBO,timeout,1199.98,392.24,0,0,0
mbo_E17E23,20161105-Sturm-MBO,unsat,0.01,18.12,5.0,0,6.0
mbo_E17E24,20161105-Sturm-MBO,timeout,1199.92,621.81,0,0,0
mbo_E17E25,20161105-Sturm-MBO,timeout,1199.88,577.93,0,0,0
mbo_E17E26,20161105-Sturm-MBO,timeout,1199.97,402.04,0,0,0
mbo_E17E27,20161105-Sturm-MBO,unsat,0.06,18.19,111.0,64.0,97.0
mbo_E17E28,20161105-Sturm-MBO,timeout,1199.98,74.97,0,0,0
mbo_E17,20161105-Sturm-MBO,unsat,0.0,18.11,4.0,0,5.0
mbo_E18E19,20161105-Sturm-MBO,timeout,1199.9,392.99,0,0,0
mbo_E18E20,20161105-Sturm-MBO,timeout,1199.93,405.34,0,0,0
mbo_E18E21,20161105-Sturm-MBO,timeout,1199.94,422.33,0,0,0
mbo_E18E22,20161105-Sturm-MBO,timeout,1199.96,1356.32,0,0,0
mbo_E18E23,20161105-Sturm-MBO,timeout,1199.98,1076.47,0,0,0
mbo_E18E24,20161105-Sturm-MBO,timeout,1199.92,526.46,0,0,0
mbo_E18E25,20161105-Sturm-MBO,timeout,1199.92,456.08,0,0,0
mbo_E18E26,20161105-Sturm-MBO,timeout,1199.93,499.6,0,0,0
mbo_E18E27,20161105-Sturm-MBO,timeout,1199.96,320.19,0,0,0
mbo_E18E28,20161105-Sturm-MBO,timeout,1199.93,631.58,0,0,0
mbo_E18,20161105-Sturm-MBO,timeout,1199.98,147.46,0,0,0
mbo_E19E20,20161105-Sturm-MBO,timeout,1199.97,1262.69,0,0,0
mbo_E19E21,20161105-Sturm-MBO,timeout,1199.97,5617.68,0,0,0
mbo_E19E22,20161105-Sturm-MBO,timeout,1199.92,417.91,0,0,0
mbo_E19E23,20161105-Sturm-MBO,timeout,1199.92,350.16,0,0,0
mbo_E19E24,20161105-Sturm-MBO,timeout,1199.88,325.06,0,0,0
mbo_E19E25,20161105-Sturm-MBO,timeout,1199.92,430.61,0,0,0
mbo_E19E26,20161105-Sturm-MBO,timeout,1199.93,477.48,0,0,0
mbo_E19E27,20161105-Sturm-MBO,timeout,1199.98,392.54,0,0,0
mbo_E19E28,20161105-Sturm-MBO,timeout,1199.92,405.41,0,0,0
mbo_E19,20161105-Sturm-MBO,timeout,1199.98,162.55,0,0,0
mbo_E1E10,20161105-Sturm-MBO,timeout,1199.9,458.33,0,0,0
mbo_E1E11,20161105-Sturm-MBO,timeout,1199.95,478.03,0,0,0
mbo_E1E12,20161105-Sturm-MBO,timeout,1199.91,351.64,0,0,0
mbo_E1E13,20161105-Sturm-MBO,timeout,1199.89,303.71,0,0,0
mbo_E1E14,20161105-Sturm-MBO,timeout,1199.82,400.78,0,0,0
mbo_E1E15,20161105-Sturm-MBO,timeout,1199.9,357.19,0,0,0
mbo_E1E16,20161105-Sturm-MBO,timeout,1199.89,760.04,0,0,0
mbo_E1E17,20161105-Sturm-MBO,timeout,1199.91,702.43,0,0,0
mbo_E1E18,20161105-Sturm-MBO,timeout,1199.84,423.33,0,0,0
mbo_E1E19,20161105-Sturm-MBO,timeout,1199.9,412.23,0,0,0
mbo_E1E20,20161105-Sturm-MBO,timeout,1199.91,513.96,0,0,0
mbo_E1E21,20161105-Sturm-MBO,timeout,1199.94,453.42,0,0,0
