benchmark,family,result,time,memory,conflict,decision,stage
mbo_E14E22,20161105-Sturm-MBO,timeout,1199.93,335.09,0,0,0
mbo_E14E23,20161105-Sturm-MBO,timeout,1199.94,517.94,0,0,0
mbo_E14E24,20161105-Sturm-MBO,timeout,1199.91,416.87,0,0,0
mbo_E14E25,20161105-Sturm-MBO,timeout,1199.98,300.96,0,0,0
mbo_E14E26,20161105-Sturm-MBO,timeout,1199.98,245.98,0,0,0
mbo_E14E27,20161105-Sturm-MBO,timeout,1199.97,346.57,0,0,0
mbo_E14E28,20161105-Sturm-MBO,timeout,1199.93,590.88,0,0,0
mbo_E14,20161105-Sturm-MBO,timeout,1199.99,251.44,0,0,0
mbo_E15E16,20161105-Sturm-MBO,timeout,1200.12,325.81,0,0,0
mbo_E15E17,20161105-Sturm-MBO,timeout,1199.91,583.24,0,0,0
mbo_E15E18,20161105-Sturm-MBO,timeout,1199.92,527.36,0,0,0
mbo_E15E19,20161105-Sturm-MBO,timeout,1200.71,305.47,0,0,0
mbo_E15E20,20161105-Sturm-MBO,timeout,1199.97,915.65,0,0,0
mbo_E15E21,20161105-Sturm-MBO,timeout,1199.95,359.4,0,0,0
mbo_E15E22,20161105-Sturm-MBO,timeout,1199.93,321.77,0,0,0
mbo_E15E23,20161105-Sturm-MBO,timeout,1199.95,391.28,0,0,0
mbo_E15E24,20161105-Sturm-MBO,timeout,1199.94,278.24,0,0,0
mbo_E15E25,20161105-Sturm-MBO,timeout,1199.99,330.89,0,0,0
mbo_E15E26,20161105-Sturm-MBO,timeout,1199.98,258.61,0,0,0
mbo_E15E27,20161105-Sturm-MBO,timeout,1199.97,375.92,0,0,0
mbo_E15E28,20161105-Sturm-MBO,timeout,1199.93,511.48,0,0,0
mbo_E15,20161105-Sturm-MBO,timeout,1199.98,357.86,0,0,0
mbo_E16E17,20161105-Sturm-MBO,timeout,1199.98,149.74,0,0,0
mbo_E16E18,20161105-Sturm-MBO,timeout,1199.9,698.69,0,0,0
mbo_E16E19,20161105-Sturm-MBO,timeout,1199.91,612.37,0,0,0
mbo_E16E20,20161105-Sturm-MBO,timeout,1199.93,609.18,0,0,0
mbo_E16E21,20161105-Sturm-MBO,timeout,1199.98,307.83,0,0,0
mbo_E16E22,20161105-Sturm-MBO,timeout,1199.91,595.22,0,0,0
mbo_E16E23,20161105-Sturm-MBO,timeout,1199.98,341.69,0,0,0
mbo_E16E24,20161105-Sturm-MBO,timeout,1199.91,658.87,0,0,0
mbo_E16E25,20161105-Sturm-MBO,timeout,1199.99,279.24,0,0,0
mbo_E16E26,20161105-Sturm-MBO,timeout,1199.99,168.58,0,0,0
mbo_E16E27,20161105-Sturm-MBO,timeout,1199.98,228.71,0,0,0
mbo_E16E28,20161105-Sturm-MBO,timeout,1199.98,388.76,0,0,0
mbo_E16,20161105-Sturm-MBO,timeout,1199.98,41.57,0,0,0
mbo_E17E18,20161105-Sturm-MBO,timeout,1199.98,415.79,0,0,0
mbo_E17E19,20161105-Sturm-MBO,timeout,1199.92,562.69,0,0,0
mbo_E17E20,20161105-Sturm-MBO,timeout,1200.2,511.54,0,0,0
mbo_E17E21,20161105-Sturm-MBO,timeout,1199.98,355.87,0,0,0
mbo_E17E22,20161105-Sturm-MBO,timeout,1199.98,431.14,0,0,0
mbo_E17E23,20161105-Sturm-MBO,unsat,0.01,18.12,6.0,0,6.0
mbo_E17E24,20161105-Sturm-MBO,timeout,1199.94,622.86,0,0,0
mbo_E17E25,20161105-Sturm-MBO,timeout,1199.93,577.96,0,0,0
mbo_E17E26,20161105-Sturm-MBO,timeout,1199.99,366.69,0,0,0
mbo_E17E27,20161105-Sturm-MBO,timeout,1199.98,132.47,0,0,0
mbo_E17E28,20161105-Sturm-MBO,unsat,5.72,18.73,469.0,204.0,285.0
mbo_E17,20161105-Sturm-MBO,unsat,0.0,18.11,5.0,0,5.0
mbo_E18E19,20161105-Sturm-MBO,timeout,1199.93,417.91,0,0,0
mbo_E18E20,20161105-Sturm-MBO,timeout,1199.94,405.5,0,0,0
mbo_E18E21,20161105-Sturm-MBO,timeout,1199.94,422.31,0,0,0
mbo_E18E22,20161105-Sturm-MBO,timeout,1199.98,352.26,0,0,0
mbo_E18E23,20161105-Sturm-MBO,timeout,1199.98,1075.69,0,0,0
mbo_E18E24,20161105-Sturm-MBO,timeout,1199.93,415.85,0,0,0
mbo_E18E25,20161105-Sturm-MBO,timeout,1199.93,329.26,0,0,0
mbo_E18E26,20161105-Sturm-MBO,timeout,1199.94,499.45,0,0,0
mbo_E18E27,20161105-Sturm-MBO,timeout,1199.97,319.37,0,0,0
mbo_E18E28,20161105-Sturm-MBO,timeout,1199.94,633.54,0,0,0
mbo_E18,20161105-Sturm-MBO,timeout,1199.99,403.82,0,0,0
mbo_E19E20,20161105-Sturm-MBO,timeout,1199.98,365.73,0,0,0
mbo_E19E21,20161105-Sturm-MBO,timeout,1199.98,5673.37,0,0,0
mbo_E19E22,20161105-Sturm-MBO,timeout,1199.93,417.0,0,0,0
mbo_E19E23,20161105-Sturm-MBO,timeout,1199.94,352.3,0,0,0
mbo_E19E24,20161105-Sturm-MBO,timeout,1199.93,322.84,0,0,0
mbo_E19E25,20161105-Sturm-MBO,timeout,1199.94,407.69,0,0,0
mbo_E19E26,20161105-Sturm-MBO,timeout,1199.94,474.1,0,0,0
mbo_E19E27,20161105-Sturm-MBO,timeout,1199.97,392.73,0,0,0
mbo_E19E28,20161105-Sturm-MBO,timeout,1199.93,405.45,0,0,0
mbo_E19,20161105-Sturm-MBO,timeout,1199.99,211.05,0,0,0
mbo_E1E10,20161105-Sturm-MBO,timeout,1199.91,459.02,0,0,0
mbo_E1E11,20161105-Sturm-MBO,timeout,1199.96,484.5,0,0,0
mbo_E1E12,20161105-Sturm-MBO,timeout,1199.91,350.92,0,0,0
mbo_E1E13,20161105-Sturm-MBO,timeout,1199.91,302.17,0,0,0
mbo_E1E14,20161105-Sturm-MBO,timeout,1199.83,399.99,0,0,0
mbo_E1E15,20161105-Sturm-MBO,timeout,1199.9,356.96,0,0,0
mbo_E1E16,20161105-Sturm-MBO,timeout,1199.9,761.7,0,0,0
mbo_E1E17,20161105-Sturm-MBO,timeout,1199.92,704.0,0,0,0
mbo_E1E18,20161105-Sturm-MBO,timeout,1199.91,375.83,0,0,0
mbo_E1E19,20161105-Sturm-MBO,timeout,1199.92,415.99,0,0,0
mbo_E1E20,20161105-Sturm-MBO,timeout,1199.93,479.07,0,0,0
mbo_E1E21,20161105-Sturm-MBO,timeout,1199.93,453.49,0,0,0
mbo_E1E22,20161105-Sturm-MBO,timeout,1199.92,384.36,0,0,0
mbo_E1E23,20161105-Sturm-MBO,timeout,1199.94,428.68,0,0,0
mbo_E1E24,20161105-Sturm-MBO,timeout,1199.92,351.61,0,0,0
mbo_E1E25,20161105-Sturm-MBO,timeout,1199.92,475.74,0,0,0
mbo_E1E26,20161105-Sturm-MBO,timeout,1199.93,563.58,0,0,0
mbo_E1E27,20161105-Sturm-MBO,timeout,1199.97,408.31,0,0,0
mbo_E1E28,20161105-Sturm-MBO,timeout,1199.93,590.46,0,0,0
mbo_E1E2,20161105-Sturm-MBO,timeout,1199.9,369.63,0,0,0
mbo_E1E3,20161105-Sturm-MBO,timeout,1199.91,367.46,0,0,0
mbo_E1E4,20161105-Sturm-MBO,timeout,1199.91,358.98,0,0,0
mbo_E1E5,20161105-Sturm-MBO,timeout,1199.9,507.91,0,0,0
mbo_E1E6,20161105-Sturm-MBO,timeout,1199.9,856.42,0,0,0
mbo_E1E7,20161105-Sturm-MBO,timeout,1199.94,507.33,0,0,0
mbo_E1E8,20161105-Sturm-MBO,timeout,1199.91,308.69,0,0,0
mbo_E1E9,20161105-Sturm-MBO,timeout,1199.88,801.74,0,0,0
mbo_E1,20161105-Sturm-MBO,timeout,1199.99,226.27,0,0,0
mbo_E20E21,20161105-Sturm-MBO,unsat,2.24,18.12,22.0,4.0,18.0
mbo_E20E22,20161105-Sturm-MBO,timeout,1199.98,481.03,0,0,0
mbo_E20E23,20161105-Sturm-MBO,timeout,1199.99,402.22,0,0,0
mbo_E20E24,20161105-Sturm-MBO,timeout,1199.99,401.73,0,0,0
mbo_E20E25,20161105-Sturm-MBO,timeout,1199.98,377.48,0,0,0
mbo_E20E26,20161105-Sturm-MBO,timeout,1199.99,362.91,0,0,0
mbo_E20E27,20161105-Sturm-MBO,timeout,1199.99,217.73,0,0,0
mbo_E20E28,20161105-Sturm-MBO,timeout,1199.98,395.57,0,0,0
mbo_E20,20161105-Sturm-MBO,unsat,0.16,18.1,122.0,46.0,83.0
mbo_E21E22,20161105-Sturm-MBO,timeout,1199.98,347.23,0,0,0
