benchmark,family,result,time,memory
mbo_E15,20161105-Sturm-MBO,unsat,0.142,25.266
mbo_E16E17,20161105-Sturm-MBO,unsat,0.503,49.902
mbo_E16E18,20161105-Sturm-MBO,timeout,0,0
mbo_E16E19,20161105-Sturm-MBO,timeout,0,0
mbo_E16E20,20161105-Sturm-MBO,timeout,0,0
mbo_E16E21,20161105-Sturm-MBO,unsat,0.717,51.922
mbo_E16E22,20161105-Sturm-MBO,timeout,0,0
mbo_E16E23,20161105-Sturm-MBO,unsat,0.6,51.844
mbo_E16E24,20161105-Sturm-MBO,timeout,0,0
mbo_E16E25,20161105-Sturm-MBO,unsat,0.668,32.488
mbo_E16E26,20161105-Sturm-MBO,unsat,0.057,15.406
mbo_E16E27,20161105-Sturm-MBO,unsat,0.197,26.871
mbo_E16E28,20161105-Sturm-MBO,unsat,0.438,68.586
mbo_E16,20161105-Sturm-MBO,unsat,0.022,11.414
mbo_E17E18,20161105-Sturm-MBO,unsat,0.803,36.387
mbo_E17E19,20161105-Sturm-MBO,timeout,0,0
mbo_E17E20,20161105-Sturm-MBO,timeout,0,0
mbo_E17E21,20161105-Sturm-MBO,timeout,0,0
mbo_E17E22,20161105-Sturm-MBO,unsat,0.579,29.523
mbo_E17E23,20161105-Sturm-MBO,unsat,0.054,14.848
mbo_E17E24,20161105-Sturm-MBO,timeout,0,0
mbo_E17E25,20161105-Sturm-MBO,timeout,0,0
mbo_E17E26,20161105-Sturm-MBO,unsat,0.365,42.824
mbo_E17E27,20161105-Sturm-MBO,unsat,0.114,22.312
mbo_E17E28,20161105-Sturm-MBO,unsat,0.462,47.188
mbo_E17,20161105-Sturm-MBO,unsat,0.02,10.961
mbo_E18E19,20161105-Sturm-MBO,unsat,11.274,152.328
mbo_E18E20,20161105-Sturm-MBO,timeout,0,0
mbo_E18E21,20161105-Sturm-MBO,timeout,0,0
mbo_E18E22,20161105-Sturm-MBO,unsat,0.681,31.91
mbo_E18E23,20161105-Sturm-MBO,unsat,0.464,28.414
mbo_E18E24,20161105-Sturm-MBO,unsat,9.785,133.797
mbo_E18E25,20161105-Sturm-MBO,timeout,0,0
mbo_E18E26,20161105-Sturm-MBO,timeout,0,0
mbo_E18E27,20161105-Sturm-MBO,unsat,0.948,38.078
mbo_E18E28,20161105-Sturm-MBO,unsat,7.777,121.984
mbo_E18,20161105-Sturm-MBO,unsat,0.162,26.926
mbo_E19E20,20161105-Sturm-MBO,unsat,0.586,30.445
mbo_E19E21,20161105-Sturm-MBO,unsat,0.358,23.266
mbo_E19E22,20161105-Sturm-MBO,unsat,7.549,119.457
mbo_E19E23,20161105-Sturm-MBO,unsat,5.974,105.211
mbo_E19E24,20161105-Sturm-MBO,unsat,8.197,130.5
mbo_E19E25,20161105-Sturm-MBO,unsat,7.738,126.902
mbo_E19E26,20161105-Sturm-MBO,unsat,6.448,110.645
mbo_E19E27,20161105-Sturm-MBO,unsat,1.034,43.59
mbo_E19E28,20161105-Sturm-MBO,unsat,7.337,116.59
mbo_E19,20161105-Sturm-MBO,unsat,0.201,31.094
mbo_E1E10,20161105-Sturm-MBO,timeout,0,0
mbo_E1E11,20161105-Sturm-MBO,unsat,3.039,69.988
mbo_E1E12,20161105-Sturm-MBO,unsat,12.53,163.324
mbo_E1E13,20161105-Sturm-MBO,unsat,14.079,167.543
mbo_E1E14,20161105-Sturm-MBO,timeout,0,0
mbo_E1E15,20161105-Sturm-MBO,unsat,12.936,166.246
mbo_E1E16,20161105-Sturm-MBO,timeout,0,0
mbo_E1E17,20161105-Sturm-MBO,timeout,0,0
mbo_E1E18,20161105-Sturm-MBO,timeout,0,0
mbo_E1E19,20161105-Sturm-MBO,unsat,11.886,156.758
mbo_E1E20,20161105-Sturm-MBO,unsat,7.785,120.602
mbo_E1E21,20161105-Sturm-MBO,timeout,0,0
mbo_E1E22,20161105-Sturm-MBO,unsat,8.816,131.16
mbo_E1E23,20161105-Sturm-MBO,unsat,7.422,115.344
mbo_E1E24,20161105-Sturm-MBO,unsat,9.458,142.805
mbo_E1E25,20161105-Sturm-MBO,unsat,9.547,135.758
mbo_E1E26,20161105-Sturm-MBO,unsat,7.786,120.051
mbo_E1E27,20161105-Sturm-MBO,unsat,1.655,53.082
mbo_E1E28,20161105-Sturm-MBO,unsat,9.487,132.355
mbo_E1E2,20161105-Sturm-MBO,unsat,15.395,180.137
mbo_E1E3,20161105-Sturm-MBO,unsat,15.245,176.895
mbo_E1E4,20161105-Sturm-MBO,timeout,0,0
mbo_E1E5,20161105-Sturm-MBO,unsat,16.615,186.391
mbo_E1E6,20161105-Sturm-MBO,timeout,0,0
mbo_E1E7,20161105-Sturm-MBO,unsat,4.942,98.23
mbo_E1E8,20161105-Sturm-MBO,unsat,14.444,178.004
mbo_E1E9,20161105-Sturm-MBO,timeout,0,0
mbo_E1,20161105-Sturm-MBO,unsat,0.359,23.266
mbo_E20E21,20161105-Sturm-MBO,unsat,0.075,16.617
mbo_E20E22,20161105-Sturm-MBO,unsat,0.398,46.684
mbo_E20E23,20161105-Sturm-MBO,unsat,0.333,45.129
mbo_E20E24,20161105-Sturm-MBO,unsat,1.36,73.703
mbo_E20E25,20161105-Sturm-MBO,unsat,0.669,51.172
mbo_E20E26,20161105-Sturm-MBO,unsat,0.341,46.277
mbo_E20E27,20161105-Sturm-MBO,unsat,0.113,24.305
mbo_E20E28,20161105-Sturm-MBO,unsat,1.019,65.41
mbo_E20,20161105-Sturm-MBO,unsat,0.022,11.219
mbo_E21E22,20161105-Sturm-MBO,timeout,0,0
mbo_E21E23,20161105-Sturm-MBO,unsat,0.025,11.508
mbo_E21E24,20161105-Sturm-MBO,unsat,0.405,45.926
mbo_E21E25,20161105-Sturm-MBO,timeout,0,0
mbo_E21E26,20161105-Sturm-MBO,unsat,0.031,11.711
mbo_E21E27,20161105-Sturm-MBO,unsat,0.014,10.504
mbo_E21E28,20161105-Sturm-MBO,unsat,0.027,11.84
mbo_E21,20161105-Sturm-MBO,unsat,0.003,5.961
mbo_E22E23,20161105-Sturm-MBO,unsat,0.075,15.992
mbo_E22E24,20161105-Sturm-MBO,unsat,0.844,64.215
mbo_E22E25,20161105-Sturm-MBO,unsat,1.327,74.5
mbo_E22E26,20161105-Sturm-MBO,unsat,0.327,50.359
mbo_E22E27,20161105-Sturm-MBO,unsat,0.15,24.367
mbo_E22E28,20161105-Sturm-MBO,unsat,0.433,51.891
mbo_E22,20161105-Sturm-MBO,unsat,0.02,13.023
mbo_E23E24,20161105-Sturm-MBO,unsat,0.418,46.246
mbo_E23E25,20161105-Sturm-MBO,unsat,0.429,47.078
mbo_E23E26,20161105-Sturm-MBO,unsat,0.025,11.66
mbo_E23E27,20161105-Sturm-MBO,unsat,0.016,21.742
mbo_E23E28,20161105-Sturm-MBO,unsat,0.025,24.152
mbo_E23,20161105-Sturm-MBO,unsat,0.003,5.957
mbo_E24E25,20161105-Sturm-MBO,unsat,1.045,65.457
mbo_E24E26,20161105-Sturm-MBO,unsat,0.392,49.469
mbo_E24E27,20161105-Sturm-MBO,unsat,0.245,31.133
mbo_E24E28,20161105-Sturm-MBO,unsat,0.785,63.98
mbo_E24,20161105-Sturm-MBO,unsat,0.064,16.297
mbo_E25E26,20161105-Sturm-MBO,unsat,0.042,20.68
